A Arte da Procrastinacao;John Perry;40.00;20
It, a coisa;Stephen King;40.00; 20
Carrie, a estranha;Stephen King;40.00;20
Sob a Redoma;Stephen King;40.00;20
Cemiterio Maldito;Stephen King;40.00;20
A Escolha dos Tres - Torre Negra 2;Stephen King;40.00;20
O Pistoleiro - Torre Negra 1;Stephen King;40.00;20
Terras Devastadas - Torre Negra 3;Stephen King;40.00;20
O Mago e o Vidro - Torre Negra 4;Stephen King;40.00;20
Lobos de Calla - Torre Negra 5;Author;Stephen King;40.00;20
A Danca da Morte;Stephen King;40.00;20
Sombras da Noite;Stephen King;40.00;20
A Fascinante Construcao do Eu;Augusto Cury;40.00;20
Blink;Author;Malcolm Gladwell;Price 40.00;Qty 20
Scrum, Gestao Agil;Rafael Sabbagh;40.00;20
The Gift of Fear;Gavin de Becker;40.00;20
Fun Retrospectives;Paulo Caroli;40.00;20
O Sorriso da Hiena;Gustavo Avila;40.00;20
Mundo de Sofia;Jostein Gaarder;40.00;20
A Cabana;Willian Young;40.00;20
O Hobbit;JR Tolkien;40.00;20
Sociedade do Anel;JR Tolkien;40.00;20
As Duas Torres;JR Tolkien; 40.00;20
Torre Negra;Stephen King;40.00;20